account_id,mrr,arr,seats_licensed,employee_count,tenure_days,days_until_renewal,mrr_per_seat,plan_tier_encoded,region_APAC,region_EMEA,avg_monthly_logins,avg_active_user_ratio,avg_feature_adoption_pct,avg_data_processed_gb,total_api_calls,has_api_integration,months_observed,login_trend_pct,logins_mom_change,total_tickets,avg_resolution_hours,avg_csat_score,pct_high_critical_tickets,tickets_last_90d,days_since_last_ticket,days_since_critical_ticket,ticket_velocity_ratio,last_nps_score,nps_trend,avg_nps_score,nps_response_count,churned
ACC-0029,1694.59,20335.08,10,119,369,-9,169.46,1,False,False,133.9167,0.8583,0.3274,30.515,0.0,0.0,12.0,-0.0689,-22.0,16.0,23.5,3.5,0.25,2.0,3.0,999.0,0.5,6.0,1.0,5.33,3.0,0
ACC-0030,21913.2,262958.4,179,669,107,253,122.42,2,True,False,2418.0,0.471,0.25,11.28,17997.0,1.0,3.0,0.0,-271.0,12.0,27.667,4.0,0.25,6.0,3.0,73.0,0.5,5.0,0.0,5.0,0.0,0
ACC-0031,5478.74,65744.88,133,4157,1051,-691,41.19,2,False,True,1656.6667,0.7877,0.6125,24.8333,66442.0,1.0,12.0,0.081,-85.0,53.0,24.642,3.711,0.226,16.0,12.0,39.0,1.207,7.0,0.0,7.0,2.0,0
ACC-0032,3030.45,36365.4,15,37,771,-51,202.03,1,False,True,324.4167,0.5945,0.3274,34.7117,54316.0,1.0,12.0,0.1708,28.0,10.0,23.9,3.714,0.5,2.0,13.0,171.0,0.8,6.0,-2.0,7.33,3.0,0
ACC-0033,203.11,2437.32,4,27,601,-241,50.78,0,False,True,27.75,0.4688,0.3281,18.7962,0.0,0.0,8.0,-0.4528,-10.0,20.0,18.25,2.25,0.6,0.0,134.0,167.0,0.0,5.0,0.0,5.0,1.0,1
ACC-0034,547.32,6567.84,4,26,664,56,136.83,0,False,True,54.4167,0.4792,0.5521,29.89,0.0,0.0,12.0,-0.0125,3.0,7.0,38.714,3.143,0.0,1.0,66.0,999.0,0.571,9.0,1.0,8.5,2.0,0
ACC-0035,223.3,2679.6,3,9,353,367,74.43,0,False,False,51.7273,0.667,0.2159,26.3209,0.0,0.0,11.0,0.1786,2.0,13.0,23.231,4.182,0.231,3.0,14.0,27.0,0.846,7.0,0.0,7.0,1.0,0
ACC-0036,3494.47,41933.64,24,148,1025,-305,145.6,1,False,False,608.4167,0.5869,0.5297,28.9133,62728.0,1.0,12.0,0.0964,56.0,26.0,30.192,3.944,0.154,7.0,7.0,999.0,1.077,10.0,0.0,10.0,2.0,0
ACC-0037,931.42,11177.04,23,153,830,-470,40.5,1,False,False,390.125,0.4021,0.4286,17.4075,28596.0,1.0,8.0,-0.4447,-152.0,26.0,19.962,2.318,0.231,0.0,141.0,231.0,0.0,5.0,0.0,5.0,0.0,1
ACC-0038,293.86,3526.32,2,20,690,-330,146.93,0,False,False,19.6667,0.4167,0.4479,22.1625,0.0,0.0,12.0,0.0678,-2.0,17.0,16.0,3.923,0.353,6.0,8.0,88.0,1.411,10.0,0.0,10.0,1.0,0
ACC-0039,2902.76,34833.12,9,209,165,195,322.53,1,False,True,96.5,0.222,0.1785,2.23,3909.0,1.0,2.0,0.0,-71.0,6.0,9.5,2.167,0.667,0.0,98.0,98.0,0.0,5.0,0.0,5.0,0.0,1
ACC-0040,255.08,3060.96,3,25,293,67,85.03,0,False,False,39.0,0.4814,0.4444,25.8611,0.0,0.0,9.0,0.0714,-9.0,13.0,24.0,4.222,0.231,4.0,10.0,999.0,0.923,4.0,0.0,4.0,1.0,0
ACC-0041,1354.25,16251.0,9,274,926,-206,150.47,1,False,False,187.8333,0.852,0.3215,22.6592,0.0,0.0,12.0,-0.018,23.0,39.0,33.103,3.516,0.282,8.0,6.0,129.0,0.82,7.0,2.0,5.67,3.0,0
ACC-0042,14521.84,174262.08,88,3646,347,13,165.02,2,False,True,921.0,0.7727,0.5227,23.8845,45694.0,1.0,11.0,0.0685,-85.0,63.0,27.016,3.745,0.222,17.0,11.0,15.0,0.989,8.0,0.0,8.0,3.0,0
ACC-0043,18220.54,218646.48,182,4013,780,-60,100.11,2,False,True,2407.3333,0.6574,0.6125,28.1042,52582.0,1.0,12.0,0.023,-375.0,16.0,27.312,3.5,0.25,4.0,59.0,197.0,1.0,4.0,-1.0,4.67,3.0,0
ACC-0044,364.38,4372.56,4,30,588,-228,91.1,0,False,False,70.5,0.6042,0.5417,24.0908,0.0,0.0,12.0,0.099,16.0,10.0,38.3,3.333,0.1,4.0,5.0,999.0,1.599,8.0,-1.0,8.5,2.0,0
ACC-0045,706.93,8483.16,2,15,285,75,353.46,0,False,False,34.0,0.4444,0.4583,31.4222,0.0,0.0,9.0,-0.0926,0.0,13.0,26.0,3.9,0.385,4.0,10.0,197.0,0.923,6.0,-1.0,6.5,2.0,0
ACC-0046,19436.49,233237.88,40,1222,546,-186,485.91,2,True,False,889.0833,0.4958,0.325,26.4342,0.0,0.0,12.0,0.2139,4.0,57.0,22.0,3.936,0.228,13.0,22.0,26.0,0.912,6.0,2.0,5.0,2.0,0
ACC-0047,423.21,5078.52,3,27,126,234,141.07,0,False,True,50.25,0.667,0.4375,21.53,0.0,0.0,4.0,-0.0066,-1.0,5.0,31.4,3.8,0.2,4.0,8.0,8.0,1.066,8.0,0.0,8.0,2.0,0
ACC-0048,1130.0,13560.0,21,201,818,-458,53.81,1,False,True,474.0833,0.6152,0.4822,28.9742,51434.0,1.0,12.0,0.0429,21.0,12.0,32.333,4.0,0.167,2.0,65.0,999.0,0.666,10.0,1.0,9.5,2.0,0
ACC-0049,775.12,9301.44,3,20,473,-113,258.37,0,False,False,55.6667,0.5557,0.5729,31.2467,0.0,0.0,12.0,0.0,-1.0,12.0,27.083,4.0,0.25,1.0,46.0,999.0,0.333,8.0,2.0,7.0,2.0,0
ACC-0050,375.93,4511.16,1,49,654,66,375.93,0,False,True,16.8333,0.0,0.3229,31.325,0.0,0.0,12.0,0.1702,-2.0,4.0,5.0,3.5,0.5,1.0,4.0,217.0,0.999,6.0,1.0,4.75,4.0,0
ACC-0051,24459.21,293510.52,161,4946,1328,-968,151.92,2,False,True,2995.1667,0.7515,0.3167,23.6042,77105.0,1.0,12.0,0.0578,734.0,58.0,27.828,3.898,0.293,13.0,3.0,132.0,0.896,8.0,1.0,7.5,2.0,0
ACC-0052,656.91,7882.92,4,6,263,457,164.23,0,True,False,34.5714,0.5357,0.4286,18.6029,0.0,0.0,7.0,-0.328,-18.0,21.0,19.714,2.647,0.333,8.0,39.0,58.0,0.889,4.0,0.0,4.0,2.0,1
ACC-0053,250.9,3010.8,3,49,589,-229,83.63,0,False,True,50.25,0.5835,0.4167,21.0117,0.0,0.0,12.0,0.0134,-12.0,20.0,21.5,3.333,0.25,3.0,8.0,96.0,0.6,8.0,0.0,8.0,2.0,0
ACC-0054,2004.03,24048.36,23,150,180,180,87.13,1,False,True,426.4,0.5742,0.4002,21.898,25437.0,1.0,5.0,0.1314,16.0,4.0,44.25,5.0,0.25,2.0,55.0,148.0,0.833,5.0,0.0,5.0,0.0,0
ACC-0055,836.33,10035.96,24,141,90,270,34.85,1,False,False,106.0,0.167,0.071,7.6,2789.0,1.0,1.0,0.0,0.0,7.0,17.857,3.4,0.286,7.0,63.0,85.0,0.333,3.0,0.0,3.0,1.0,1
ACC-0056,4255.24,51062.88,179,1350,975,-255,23.77,2,False,True,2406.8333,0.804,0.5125,31.1883,87659.0,1.0,12.0,0.0593,-320.0,31.0,26.29,3.552,0.258,7.0,21.0,21.0,0.903,5.0,0.0,5.0,1.0,0
ACC-0057,1041.39,12496.68,19,36,655,-295,54.81,1,False,True,335.5833,0.9254,0.25,33.7692,72884.0,1.0,12.0,0.2209,-47.0,18.0,35.222,4.417,0.333,3.0,9.0,68.0,0.667,8.0,1.0,7.5,2.0,0
ACC-0058,5215.14,62581.68,121,2845,1235,-875,43.1,2,False,True,1869.4167,0.5112,0.6208,26.4708,55058.0,1.0,12.0,-0.068,17.0,21.0,23.571,3.667,0.238,5.0,45.0,69.0,0.952,6.0,2.0,5.0,3.0,0
ACC-0059,359.56,4314.72,1,17,234,126,359.56,0,True,False,14.0,0.0,0.2143,35.5357,0.0,0.0,7.0,0.0,0.0,4.0,18.0,4.5,0.25,0.0,132.0,999.0,0.0,6.0,-1.0,6.5,2.0,0
ACC-0060,1320.37,15844.44,18,34,972,-252,73.35,1,False,False,377.0833,0.8333,0.5237,27.6575,0.0,0.0,12.0,-0.0367,-41.0,13.0,40.923,4.417,0.154,5.0,12.0,152.0,1.538,7.0,2.0,6.0,3.0,0
ACC-0061,22187.34,266248.08,128,4258,463,257,173.34,2,False,False,1630.0,0.7696,0.525,25.6658,0.0,0.0,12.0,0.0364,293.0,54.0,24.722,3.628,0.259,15.0,9.0,9.0,1.111,8.0,0.0,8.0,1.0,0
ACC-0062,697.5,8370.0,1,10,188,172,697.5,0,True,False,5.25,0.0,0.2188,21.2275,0.0,0.0,4.0,-0.1579,-3.0,8.0,15.125,2.571,0.625,2.0,67.0,180.0,0.333,5.0,0.0,5.0,0.0,1
ACC-0063,2509.91,30118.92,9,107,1086,-366,278.88,1,True,False,270.4167,0.5093,0.262,21.6383,0.0,0.0,12.0,0.1684,-20.0,18.0,15.944,4.0,0.444,6.0,39.0,52.0,1.333,6.0,0.0,6.67,3.0,0
ACC-0064,470.33,5643.96,2,32,538,-178,235.16,0,False,False,28.9167,0.5833,0.4583,21.6342,0.0,0.0,12.0,0.0345,6.0,3.0,9.667,4.5,0.0,0.0,146.0,999.0,0.0,7.0,0.0,7.33,3.0,0
ACC-0065,213.31,2559.72,2,9,395,325,106.66,0,False,True,33.0833,0.5,0.3125,17.9225,0.0,0.0,12.0,0.0202,0.0,14.0,13.071,3.6,0.143,6.0,63.0,999.0,1.714,7.0,-1.0,7.67,3.0,0
ACC-0066,675.09,8101.08,1,43,318,42,675.09,0,False,False,9.2,0.0,0.2875,30.166,0.0,0.0,10.0,0.1538,0.0,20.0,16.05,3.579,0.3,3.0,66.0,274.0,0.5,6.0,-1.0,6.5,2.0,0
ACC-0067,208.73,2504.76,2,42,424,-64,104.36,0,False,True,31.5,0.5,0.1771,25.845,0.0,0.0,12.0,0.1477,-1.0,5.0,15.6,3.0,0.4,2.0,22.0,96.0,1.599,8.0,-2.0,8.67,3.0,0
ACC-0068,3713.51,44562.12,14,297,989,-629,265.25,1,True,False,187.4167,0.5059,0.4704,26.8175,71615.0,1.0,12.0,0.0377,-10.0,23.0,32.826,4.0,0.348,4.0,31.0,305.0,0.696,5.0,0.0,5.0,1.0,0
ACC-0069,475.48,5705.76,2,27,215,145,237.74,0,False,True,39.1429,0.5714,0.1964,22.4014,0.0,0.0,7.0,-0.0813,-4.0,5.0,8.6,4.8,0.6,2.0,65.0,74.0,0.933,4.0,-2.0,4.67,3.0,0
ACC-0070,291.14,3493.68,2,33,370,350,145.57,0,False,True,21.9167,0.5,0.1771,30.745,0.0,0.0,12.0,-0.0303,3.0,17.0,19.471,3.75,0.294,4.0,40.0,219.0,0.941,6.0,-1.0,6.0,3.0,0
ACC-0071,16640.64,199687.68,70,623,693,-333,237.72,2,False,False,1329.2,0.4742,0.255,24.875,30646.0,1.0,10.0,-0.4414,-646.0,82.0,22.756,2.578,0.451,3.0,86.0,86.0,0.122,3.0,0.0,3.0,1.0,1
ACC-0072,418.56,5022.72,2,34,338,22,209.28,0,False,False,29.0,0.5455,0.4318,25.6909,0.0,0.0,11.0,0.0,-1.0,13.0,37.154,4.0,0.308,2.0,68.0,224.0,0.564,8.0,1.0,7.5,2.0,0
ACC-0073,426.37,5116.44,1,26,714,-354,426.37,0,False,False,12.1667,0.0,0.3125,30.2825,0.0,0.0,12.0,0.0278,1.0,5.0,8.6,3.4,0.8,0.0,97.0,235.0,0.0,10.0,1.0,9.67,3.0,0
ACC-0074,655.97,7871.64,2,27,401,-41,327.98,0,False,True,16.9167,0.5,0.4167,24.7917,0.0,0.0,12.0,0.125,2.0,7.0,21.571,3.5,0.429,2.0,38.0,999.0,1.142,6.0,1.0,5.5,4.0,0
ACC-0075,2502.76,30033.12,17,52,972,-612,147.22,1,True,False,329.75,0.6028,0.607,29.2708,0.0,0.0,12.0,0.0412,22.0,10.0,9.2,4.375,0.4,2.0,18.0,189.0,0.8,9.0,0.0,9.0,1.0,0
ACC-0076,393.25,4719.0,3,7,614,-254,131.08,0,False,False,62.9167,0.5835,0.2188,21.1975,0.0,0.0,12.0,0.086,2.0,4.0,31.0,3.333,0.0,0.0,128.0,999.0,0.0,5.0,1.0,4.33,3.0,0
ACC-0077,2334.66,28015.92,8,66,865,-505,291.83,1,False,True,171.25,0.8021,0.5951,26.8367,85906.0,1.0,12.0,-0.0249,-4.0,18.0,20.944,4.0,0.222,3.0,11.0,158.0,0.667,5.0,-1.0,5.0,3.0,0
ACC-0078,417.85,5014.2,2,8,466,-106,208.92,0,False,True,18.0,0.2,0.3625,20.208,0.0,0.0,10.0,-0.5286,-8.0,33.0,18.97,2.333,0.424,0.0,98.0,98.0,0.0,4.0,-1.0,4.5,2.0,1
ACC-0079,5845.64,70147.68,113,1019,848,-488,51.73,2,False,False,1168.2727,0.7256,0.2545,15.7973,54084.0,1.0,11.0,-0.4119,-452.0,35.0,26.629,2.379,0.314,4.0,55.0,159.0,0.419,3.0,0.0,3.0,2.0,1
ACC-0080,438.71,5264.52,4,6,695,-335,109.68,0,True,False,73.4167,0.4792,0.5417,25.6233,0.0,0.0,12.0,0.0602,3.0,19.0,32.211,4.214,0.263,4.0,25.0,999.0,0.842,9.0,1.0,8.5,2.0,0
ACC-0081,2629.16,31549.92,23,249,499,-139,114.31,1,True,False,325.3333,0.5472,0.25,26.3083,0.0,0.0,12.0,0.1489,-45.0,20.0,28.45,4.333,0.4,5.0,14.0,15.0,1.0,6.0,1.0,5.67,3.0,0
ACC-0082,2495.49,29945.88,5,283,983,-623,499.1,1,False,True,99.5833,0.5833,0.262,28.445,52282.0,1.0,12.0,0.0714,23.0,33.0,27.788,4.25,0.212,11.0,11.0,23.0,1.333,6.0,0.0,6.0,1.0,0
ACC-0083,401.96,4823.52,2,41,102,258,200.98,0,False,True,4.0,0.0,0.125,7.19,0.0,0.0,1.0,0.0,0.0,2.0,6.0,2.0,0.5,0.0,99.0,999.0,0.0,3.0,0.0,3.0,1.0,1
ACC-0084,270.02,3240.24,3,48,695,-335,90.01,0,False,True,24.6667,0.7502,0.1875,30.8408,0.0,0.0,12.0,-0.0779,-1.0,11.0,29.545,3.5,0.364,4.0,10.0,10.0,1.454,6.0,0.0,6.0,2.0,0
ACC-0085,759.76,9117.12,3,33,602,118,253.25,0,True,False,25.9167,0.6948,0.3125,28.3983,0.0,0.0,12.0,0.0533,-7.0,9.0,40.0,3.778,0.222,4.0,8.0,142.0,1.777,7.0,2.0,6.0,4.0,0
ACC-0086,677.16,8125.92,2,30,254,466,338.58,0,False,True,22.875,0.5,0.5625,27.13,0.0,0.0,8.0,-0.0685,-1.0,2.0,3.0,4.0,0.5,1.0,2.0,999.0,1.332,5.0,0.0,5.0,1.0,0
ACC-0087,10640.13,127681.56,61,4770,1408,-688,174.43,2,False,False,1005.5,0.754,0.325,30.94,61778.0,1.0,12.0,0.0905,161.0,38.0,21.5,3.871,0.289,8.0,15.0,42.0,0.842,6.0,1.0,5.5,2.0,0
ACC-0088,1543.08,18516.96,5,222,910,-190,308.62,1,False,False,97.5833,0.65,0.4704,29.6633,0.0,0.0,12.0,0.0242,3.0,19.0,18.0,4.0,0.263,5.0,4.0,229.0,1.052,7.0,0.0,6.33,3.0,0
ACC-0089,17181.87,206182.44,61,2697,567,153,281.67,2,False,False,1153.0833,0.836,0.5042,23.7667,54136.0,1.0,12.0,0.0508,-60.0,53.0,31.887,3.683,0.264,10.0,27.0,96.0,0.755,7.0,0.0,7.0,1.0,0
ACC-0090,3062.34,36748.08,5,142,611,-251,612.47,1,False,False,136.1667,0.8167,0.256,24.8317,69341.0,1.0,12.0,0.0321,-9.0,26.0,21.923,3.778,0.231,4.0,6.0,257.0,0.615,5.0,0.0,5.0,2.0,0
ACC-0091,6323.27,75879.24,128,2471,1270,-910,49.4,2,False,False,2702.25,0.9382,0.2875,17.5767,59597.0,1.0,12.0,0.1022,257.0,39.0,26.359,3.581,0.385,13.0,8.0,189.0,1.333,5.0,-1.0,5.67,3.0,0
ACC-0092,3104.12,37249.44,23,278,900,-540,134.96,1,False,True,409.75,0.7937,0.393,28.9133,82703.0,1.0,12.0,0.0233,-67.0,27.0,32.741,3.958,0.148,10.0,12.0,999.0,1.481,6.0,0.0,6.0,1.0,0
ACC-0093,16251.23,195014.76,42,1739,1047,-687,386.93,2,False,True,472.25,0.6289,0.2708,26.7558,0.0,0.0,12.0,0.0768,50.0,43.0,22.721,3.895,0.256,13.0,5.0,48.0,1.209,6.0,-1.0,6.5,2.0,0
ACC-0094,23574.48,282893.76,119,3549,216,144,198.1,2,True,False,1542.4286,0.8487,0.3357,30.9986,39531.0,1.0,7.0,0.0688,57.0,30.0,24.267,3.885,0.233,15.0,9.0,19.0,1.167,6.0,0.0,6.0,1.0,0
ACC-0095,246.39,2956.68,2,30,496,-136,123.2,0,True,False,31.1667,0.5,0.2083,24.97,0.0,0.0,12.0,0.0652,-3.0,3.0,22.333,4.0,0.333,2.0,56.0,999.0,2.663,8.0,0.0,8.33,3.0,0
ACC-0096,6617.92,79415.04,76,1432,460,-100,87.08,2,False,False,1809.8333,0.6799,0.525,30.0517,0.0,0.0,12.0,0.0949,-274.0,61.0,31.607,3.562,0.197,14.0,18.0,63.0,0.918,5.0,-1.0,5.75,4.0,0
ACC-0097,681.71,8180.52,1,6,333,27,681.71,0,False,True,12.9,0.3,0.1875,27.787,0.0,0.0,10.0,0.1429,-2.0,4.0,28.0,4.0,0.25,2.0,67.0,306.0,1.665,10.0,1.0,9.5,2.0,0
ACC-0098,2338.68,28064.16,21,185,753,-393,111.37,1,False,True,289.4167,0.8532,0.411,24.32,62597.0,1.0,12.0,0.0401,41.0,15.0,22.933,3.077,0.2,2.0,36.0,36.0,0.533,5.0,0.0,5.0,0.0,0
ACC-0099,548.35,6580.2,2,24,138,222,274.18,0,False,False,29.25,0.625,0.4062,34.8275,0.0,0.0,4.0,-0.0889,0.0,6.0,14.333,4.0,0.667,5.0,30.0,62.0,1.111,5.0,-2.0,6.0,2.0,0
ACC-0100,251.21,3014.52,1,23,230,130,251.21,0,False,False,11.7143,0.0,0.4107,25.8014,0.0,0.0,7.0,0.0882,-2.0,12.0,42.0,3.0,0.167,0.0,98.0,186.0,0.0,5.0,0.0,5.0,0.0,0
ACC-0101,480.94,5771.28,1,6,107,253,480.94,0,False,False,10.6667,0.0,0.4583,28.6267,0.0,0.0,3.0,0.0,-1.0,4.0,5.75,4.667,0.25,3.0,21.0,21.0,0.75,5.0,0.0,5.0,0.0,0
ACC-0102,2339.48,28073.76,10,290,353,367,233.95,1,False,True,149.4545,0.4545,0.4484,36.9827,55503.0,1.0,11.0,0.0138,21.0,13.0,24.231,3.6,0.077,6.0,13.0,999.0,1.692,6.0,-1.0,6.0,3.0,0
ACC-0103,586.4,7036.8,4,7,267,453,146.6,0,True,False,44.5,0.5,0.5312,25.3062,0.0,0.0,8.0,-0.0915,3.0,11.0,28.273,3.444,0.182,1.0,46.0,184.0,0.242,7.0,0.0,7.0,1.0,0
ACC-0104,603.14,7237.68,1,12,318,42,603.14,0,False,True,11.0,0.3,0.45,22.545,0.0,0.0,10.0,0.129,1.0,2.0,10.5,4.0,1.0,0.0,100.0,999.0,0.0,8.0,-2.0,9.0,2.0,0
ACC-0105,345.9,4150.8,2,22,254,106,172.95,0,False,True,37.375,0.375,0.1875,25.7412,0.0,0.0,8.0,0.0561,4.0,7.0,53.857,3.8,0.143,3.0,1.0,999.0,1.142,8.0,-1.0,8.5,2.0,0
ACC-0106,251.31,3015.72,3,9,374,-14,83.77,0,True,False,54.0833,0.333,0.4375,19.0083,0.0,0.0,12.0,0.1007,-8.0,11.0,25.182,3.444,0.182,2.0,6.0,999.0,0.727,5.0,0.0,5.0,3.0,0
